V1,V2,color,xpos,col
-red ,0 0,red,0,#d63e2aff
-darkred ,-180px 0,darkred,-180,#a23336ff
-lightred ,-360px 0,lightred,-360,#ff8e7fff
-orange ,-36px 0,orange,-36,#f69730ff
-beige ,-396px 0,beige,-396,#ffcb92ff
-green ,-72px 0,green,-72,#72b026ff
-darkgreen ,-252px 0,darkgreen,-252,#728224ff
-lightgreen ,-432px 0,lightgreen,-432,#bbf970ff
-blue ,-108px 0,blue,-108,#38aaddff
-darkblue ,-216px 0,darkblue,-216,#0067a3ff
-lightblue ,-468px 0,lightblue,-468,#8adaffff
-purple ,-144px 0,purple,-144,#d252b9ff
-darkpurple ,-288px 0,darkpurple,-288,#5b396bff
-pink ,-504px 0,pink,-504,#ff91eaff
-cadetblue ,-324px 0,cadetblue,-324,#436978ff
-white ,-574px 0,white,-574,#fbfbfbff
-gray ,-648px 0,gray,-648,#575757ff
-lightgray ,-612px 0,lightgray,-612,#a3a3a3ff
-black ,-682px 0,black,-682,#303030ff
