city,state,team,latitude,longitude,program
University Park,PA,Penn State,40.81215273275043,-77.85620212554932,CE1
University Park,PA,Penn State,40.81215273275043,-77.85620212554932,CE2
Columbus,OH,Ohio State,40.0016856893694,-83.01972806453705,CE2
College Station,TX,Texas A&M,30.61009757817476,-96.34072922859283,CE2
Baton Rouge,LA,LSU,30.4120123982997,-91.183819770813,CE1
Gainesville,FL,Florida,29.649868677972304,-82.34866619110107,CE1
Gainesville,FL,Florida,29.649868677972304,-82.34866619110107,CE2
Lincoln,NE,Nebraska,40.82048352329494,-96.70571565628052,CE1
Lincoln,NE,Nebraska,40.82048352329494,-96.70571565628052,CE2
Lincoln,NE,Nebraska,40.82048352329494,-96.70571565628052,Ed
Clemson,SC,Clemson,34.67874665741346,-82.84317970275879,CE1
Clemson,SC,Clemson,34.67874665741346,-82.84317970275879,Ed
Madison,WI,Wisconsin,43.06993802646878,-89.41274642944336,CE1
Madison,WI,Wisconsin,43.06993802646878,-89.41274642944336,CE2
East Lansing,MI,Michigan State,42.7281691163326,-84.48487535119057,Ed
Lexington,KY,Kentucky,38.02262168129363,-84.50520515441895,CE1
Lexington,KY,Kentucky,38.02262168129363,-84.50520515441895,CE2
Lexington,KY,Kentucky,38.02262168129363,-84.50520515441895,Ed
Ames,IA,Iowa State,42.01400541108485,-93.6358094215393,CE2
Champaign,IL,Illinois,40.09930573133053,-88.23598623275757,CE1
Champaign,IL,Illinois,40.09930573133053,-88.23598623275757,CE2
Raleigh,NC,NC State,35.80075968207897,-78.71948719024658,CE1
Raleigh,NC,NC State,35.80075968207897,-78.71948719024658,CE2
West Lafayette,IN,Purdue,40.434323,-86.918485,CE1
College Park,MD,Maryland,38.99120275144426,-76.94731173248788,CE1
College Park,MD,Maryland,38.99120275144426,-76.94731173248788,CE2
College Park,MD,Maryland,38.99120275144426,-76.94731173248788,Ed
Manhattan,KS,Kansas State,39.201863618142475,-96.59379243850708,CE1
Manhattan,KS,Kansas State,39.201863618142475,-96.59379243850708,CE2
Newark,DE,Delaware,39.68591618717565,-75.7458982561899,CE1
Newark,DE,Delaware,39.68591618717565,-75.7458982561899,CE2
Durham,NH,New Hampshire,43.13907326077061,-70.93483651750785,Ed
Ithaca,NY,Cornell,42.44572342548429,-76.4832318739652,CE1
Ithaca,NY,Cornell,42.44572342548429,-76.4832318739652,CE2
Ithaca,NY,Cornell,42.44572342548429,-76.4832318739652,Ed
Burlington,VT,Vermont,44.4783580236247,-73.19643151529881,CE1
Burlington,VT,Vermont,44.4783580236247,-73.19643151529881,CE2
